filename,frequency,label
0000 (10).jpg,0.34520931191126647,0
0000 (2).jpg,0.301915551555769,0
0000 (3).jpg,0.33730749367667423,0
0000 (4).jpg,0.37252989018464977,0
0000 (5).jpg,0.32551934317746223,0
0000 (6).jpg,0.2872832467644951,0
0000 (7).jpg,0.36238031817782773,0
0000 (8).jpg,0.2753761080317242,0
0000 (9).jpg,0.3386506822071285,0
0000.jpg,0.24049916903524618,0
0001 (10).jpg,0.29189576357945984,0
0001 (2).jpg,0.3454918427770982,0
0001 (3).jpg,0.4395655130237899,0
0001 (4).jpg,0.3157049042055714,0
0001 (5).jpg,0.34600786836516984,0
0001 (6).jpg,0.3525215990226485,0
0001 (7).jpg,0.4197512180934774,0
0001 (8).jpg,0.33178310188134563,0
0001 (9).jpg,0.28482290275970706,0
0001.jpg,0.2415717545743108,0
0002 (10).jpg,0.3119631520203112,0
0002 (2).jpg,0.353766572375643,0
0002 (3).jpg,0.35477874338164983,0
0002 (4).jpg,0.30480775207463756,0
0002 (5).jpg,0.3063927343814458,0
0002 (6).jpg,0.3860326164225218,0
0002 (7).jpg,0.3387929281280712,0
0002 (8).jpg,0.2605155741654506,0
0002 (9).jpg,0.25285214293523955,0
0002.jpg,0.3138763019425287,0
0003 (10).jpg,0.3501847897772096,0
0003 (2).jpg,0.33181883254384587,0
0003 (3).jpg,0.40831059937711267,0
0003 (4).jpg,0.3565595444625808,0
0003 (5).jpg,0.26770532227166,0
0003 (6).jpg,0.3456197157627459,0
0003 (7).jpg,0.3762608286555178,0
0003 (8).jpg,0.26139203758342927,0
0003 (9).jpg,0.2270995877237363,0
0003.jpg,0.23442995219372043,0
0004 (10).jpg,0.3410034298615641,0
0004 (2).jpg,0.33408744552098374,0
0004 (3).jpg,0.30011832745111106,0
0004 (4).jpg,0.381805381126898,0
0004 (5).jpg,0.3016530215663599,0
0004 (6).jpg,0.2820868835892595,0
0004 (7).jpg,0.32117403519278825,0
0004 (8).jpg,0.2842351889551493,0
0004 (9).jpg,0.38551902338541916,0
0004.jpg,0.2220958927745335,0
0005 (10).jpg,0.35997253180573674,0
0005 (2).jpg,0.2883701868916878,0
0005 (3).jpg,0.288841992189844,0
0005 (4).jpg,0.34307270310270277,0
0005 (5).jpg,0.30925315231963557,0
0005 (6).jpg,0.3129270598059412,0
0005 (7).jpg,0.3217662289793723,0
0005 (8).jpg,0.33773201607993353,0
0005 (9).jpg,0.275968568859687,0
0005.jpg,0.2681316541076903,0
0006 (10).jpg,0.361569187121699,0
0006 (2).jpg,0.35645786907467664,0
0006 (3).jpg,0.2850113414159759,0
0006 (4).jpg,0.33987752994762205,0
0006 (5).jpg,0.28796752097486356,0
0006 (6).jpg,0.3072527209725918,0
0006 (7).jpg,0.26140741497947056,0
0006 (8).jpg,0.24645960109716128,0
0006 (9).jpg,0.2770400562441667,0
0006.jpg,0.2401619055060726,0
0007 (10).jpg,0.22300073141704418,0
0007 (2).jpg,0.2547761433980354,0
0007 (3).jpg,0.31468559165644366,0
0007 (4).jpg,0.300474279299533,0
0007 (5).jpg,0.30572803089065514,0
0007 (6).jpg,0.2749305744912394,0
