filename,residual,label
0000 (10).jpg,559.7067,0
0000 (2).jpg,290.00732,0
0000 (3).jpg,220.8588,0
0000 (4).jpg,228.00864,0
0000 (5).jpg,118.837395,0
0000 (6).jpg,205.2756,0
0000 (7).jpg,229.26105,0
0000 (8).jpg,495.49982,0
0000 (9).jpg,219.81915,0
0000.jpg,308.79578,0
0001 (10).jpg,183.93723,0
0001 (2).jpg,252.43005,0
0001 (3).jpg,217.8324,0
0001 (4).jpg,118.6434,0
0001 (5).jpg,37.728123,0
0001 (6).jpg,182.91673,0
0001 (7).jpg,231.51965,0
0001 (8).jpg,368.65417,0
0001 (9).jpg,194.45236,0
0001.jpg,241.84738,0
0002 (10).jpg,453.83566,0
0002 (2).jpg,548.505,0
0002 (3).jpg,149.29965,0
0002 (4).jpg,55.294785,0
0002 (5).jpg,200.81395,0
0002 (6).jpg,280.3054,0
0002 (7).jpg,183.9758,0
0002 (8).jpg,235.04907,0
0002 (9).jpg,37.601738,0
0002.jpg,193.05382,0
0003 (10).jpg,113.882,0
0003 (2).jpg,321.69434,0
0003 (3).jpg,401.3891,0
0003 (4).jpg,76.800156,0
0003 (5).jpg,281.1032,0
0003 (6).jpg,210.86179,0
0003 (7).jpg,139.38867,0
0003 (8).jpg,191.18082,0
0003 (9).jpg,255.49777,0
0003.jpg,618.3307,0
0004 (10).jpg,236.49438,0
0004 (2).jpg,241.57327,0
0004 (3).jpg,263.8476,0
0004 (4).jpg,221.70383,0
0004 (5).jpg,182.30655,0
0004 (6).jpg,262.7045,0
0004 (7).jpg,165.4419,0
0004 (8).jpg,278.4912,0
0004 (9).jpg,119.25814,0
0004.jpg,181.58728,0
0005 (10).jpg,205.68692,0
0005 (2).jpg,320.88422,0
0005 (3).jpg,90.839775,0
0005 (4).jpg,160.86172,0
0005 (5).jpg,73.19679,0
0005 (6).jpg,256.01184,0
0005 (7).jpg,351.56757,0
0005 (8).jpg,389.8534,0
0005 (9).jpg,152.22865,0
0005.jpg,126.74065,0
0006 (10).jpg,171.84879,0
0006 (2).jpg,449.50128,0
0006 (3).jpg,91.02985,0
0006 (4).jpg,277.71924,0
0006 (5).jpg,263.35727,0
0006 (6).jpg,162.29483,0
0006 (7).jpg,229.20819,0
0006 (8).jpg,411.41083,0
